name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status
MLO21	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLO22	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLO23	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLO24	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLO31	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLO32	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLO33	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLO34	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLO41	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLO42	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLO43	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLO44	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLO51	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLO52	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLO53	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP11	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP12	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP21	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP22	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP23	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP31	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP32	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP33	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP34	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP35	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP41	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP42	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP43	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP44	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP45	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP51	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP52	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP53	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP54	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP55	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP56	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLP57	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT11	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT12	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT13	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT14	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT15	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT16	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT21	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT22	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT23	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT24	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT25	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT26	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT27	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT31	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT32	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT33	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT34	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT35	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT36	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT37	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT41	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT42	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT43	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT44	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT45	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT46	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT47	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT51	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
MLT52	MEGGRADAXIAL	T	0.0	600.0	Sensor 1st-order gradiometer channel located in head shell	1200.0	good
